LIGGGHTS (Version LIGGGHTS-PUBLIC 3.8.0, compiled 2024-03-31-20:10:17 by buildd, git commit unknown)
Reading data file ...
  orthogonal box = (-1 -1 -1) to (1 7 1)
  1 by 1 by 1 MPI processor grid
  100 atoms

Reading STL file 'wall.stl' (mesh processing step 1/3) 
Setting up run at Sun Mar 15 12:26:25 2026

Mesh cad: 1 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (./src/surface_mesh_I.h:657)
WARNING: Mesh cad: proc 0 has 1 element pairs that are coplanar, share an edge and overlap (but are not duplicate)
Import and parallelization of mesh cad containing 2498 triangle(s) successful
Memory usage per processor = 14.4494 Mbytes
    Step    Atoms         KinEng            CPU 
  242000      100      6.8623191      23.679841 
  243000      100      6.8700334      23.782888 
  244000      100      6.9362765      23.889486 
  245000      100      6.9172495      24.000351 
  246000      100      6.9621642      24.105036 
  247000      100      6.9303269      24.208673 
  248000      100      6.9519559      24.311854 
  249000      100      6.9854487      24.415605 
  250000      100      6.9982986      24.524967 
  251000      100      7.0397866        24.6276 
  252000      100       7.101473      24.730303 
  253000      100      7.1354454       24.83714 
  254000      100      7.1331897      24.944758 
  255000      100      7.1808226      25.050249 
  256000      100      7.2393017      25.154375 
  257000      100      7.3200026      25.260503 
  258000      100      7.3610033      25.367896 
  259000      100      7.4390537      25.482158 
  260000      100       7.485532      25.592738 
  261000      100      7.5365329      25.702912 
  262000      100      7.5808886      25.807437 
  263000      100      7.5811027      25.922288 
  264000      100      7.6516218      26.032634 
  265000      100      7.7047544      26.145608 
  266000      100      7.6609597       26.25253 
  267000      100      7.6953906      26.364038 
  268000      100      7.7291726      26.471596 
  269000      100      7.7713067      26.577431 
  270000      100      7.8197114      26.688025 
  271000      100      7.8824875      26.798415 
  272000      100       7.929883      26.907166 
  273000      100      7.9578333      27.017159 
  274000      100      7.9669224       27.12386 
  275000      100      8.0533249      27.236333 
  276000      100      8.0743629      27.348568 
  277000      100      8.1589101      27.464696 
  278000      100      8.2674184      27.578368 
  279000      100      8.3195151      27.688588 
  280000      100      8.4292401      27.802988 
  281000      100      8.4790785       27.90945 
  282000      100      8.5075098      28.018064 
  283000      100      8.5506767      28.126059 
  284000      100      8.6008682      28.235406 
  285000      100      8.6933674      28.343178 
  286000      100      8.7459385      28.453681 
  287000      100      8.8330252      28.561382 
  288000      100      8.8908335      28.673551 
  289000      100      8.8986837      28.776217 
  290000      100      8.9335801      28.880419 
  291000      100      8.9914077      28.984239 
  292000      100      9.0673784      29.089502 
  293000      100      9.1127897      29.198027 
  294000      100      9.2155289       29.31028 
  295000      100      9.2803685      29.418506 
  296000      100        9.34162      29.523776 
  297000      100      9.3532725      29.631592 
  298000      100      9.3735272      29.738874 
  299000      100      9.3546639      29.843456 
  300000      100      9.3790963      29.943978 
  301000      100      9.4402417      30.045902 
  302000      100      9.3892074      30.150076 
  303000      100      9.4203522      30.251738 
  304000      100      9.4450282      30.356565 
  305000      100      9.5017118      30.459298 
  306000      100      9.4978986      30.562264 
  307000      100      9.5452642      30.665807 
  308000      100      9.6188319      30.773075 
  309000      100      9.6256271      30.883183 
  310000      100      9.6574774      30.996069 
  311000      100      9.7152053      31.101273 
  312000      100      9.7277172      31.203104 
  313000      100      9.7483682      31.310472 
  314000      100      9.7909292      31.417064 
  315000      100       9.811943      31.527704 
  316000      100      9.8214051       31.63501 
  317000      100      9.8458174      31.742296 
  318000      100      9.9015118      31.850013 
  319000      100      9.9476325      31.955303 
  320000      100      10.025983      32.061265 
  321000      100      10.110784      32.165319 
  322000      100      10.130492      32.267191 
  323000      100      10.197455      32.372818 
  324000      100      10.229901      32.478765 
  325000      100      10.272971       32.58688 
  326000      100      10.302411      32.697248 
  327000      100      10.339033      32.806272 
  328000      100      10.378976      32.919339 
  329000      100      10.437074      33.028355 
  330000      100      10.506292       33.13918 
  331000      100      10.570933      33.244797 
  332000      100      10.649384       33.35235 
  333000      100      10.715521       33.45764 
  334000      100      10.734379      33.568723 
  335000      100      10.817645      33.681615 
  336000      100      10.861567      33.789088 
  337000      100      10.905846      33.895788 
  338000      100      10.969055      34.002244 
  339000      100      11.047367      34.109979 
  340000      100      10.996475       34.22129 
  341000      100      11.073598      34.331101 
  342000      100        11.1106      34.444041 
  343000      100      11.190299       34.55309 
  344000      100      11.206813      34.663824 
  345000      100      11.163899      34.775489 
  346000      100      11.211792       34.88135 
  347000      100      11.269898      34.988847 
  348000      100      11.295239      35.100499 
  349000      100      11.371499      35.211218 
  350000      100      11.401224      35.321463 
  351000      100      11.472748      35.429144 
  352000      100      11.550722      35.537107 
  353000      100      11.628805      35.646551 
  354000      100      11.676354      35.753426 
  355000      100      11.739954      35.862169 
  356000      100      11.836608      35.973179 
  357000      100      11.892044      36.087601 
  358000      100      11.935505      36.197383 
  359000      100       12.00435      36.305121 
  360000      100      12.025335      36.414984 
  361000      100      12.104635      36.520917 
  362000      100      12.206015      36.628829 
  363000      100      12.290586       36.73847 
  364000      100      12.397598      36.850631 
  365000      100      12.470756      36.957497 
  366000      100      12.497249      37.066344 
  367000      100      12.524825      37.173439 
  368000      100      12.576178      37.276116 
  369000      100      12.659533      37.380164 
  370000      100      12.736246      37.481002 
  371000      100      12.708477      37.582913 
  372000      100      12.715611       37.68981 
  373000      100      12.765536      37.796833 
  374000      100      12.813339      37.901577 
  375000      100      12.900196      38.010689 
  376000      100      12.996014      38.115159 
  377000      100      12.983954      38.219849 
  378000      100      13.023962      38.323073 
  379000      100      13.085009      38.428882 
  380000      100      13.129406      38.532697 
  381000      100      13.144249       38.63554 
  382000      100      13.192115      38.737836 
  383000      100      13.221925      38.841975 
  384000      100      13.253346      38.942814 
  385000      100       13.31531      39.048003 
  386000      100      13.350015      39.149762 
  387000      100      13.390864      39.252303 
  388000      100      13.497323      39.354395 
  389000      100       13.61403      39.458357 
  390000      100      13.702666      39.565523 
  391000      100      13.670023      39.672815 
  392000      100      13.698492      39.776389 
  393000      100      13.761833      39.879085 
  394000      100      13.737218      39.982469 
  395000      100      13.734573      40.086507 
  396000      100      13.772719      40.192289 
  397000      100      13.769338       40.29662 
  398000      100      13.705536      40.403664 
  399000      100      13.753369      40.509367 
  400000      100      13.785572      40.618096 
  401000      100      13.699965      40.721823 
  402000      100      13.700411      40.825932 
  403000      100      13.753033      40.927913 
  404000      100      13.807046      41.033791 
  405000      100      13.780698      41.140256 
  406000      100       13.83183      41.245019 
  407000      100      13.877673      41.354252 
  408000      100      13.926583      41.461358 
  409000      100      14.031115      41.568426 
  410000      100      14.080154      41.673115 
  411000      100      14.111555      41.778332 
  412000      100      14.141856      41.890252 
  413000      100      14.221988      41.998643 
  414000      100        14.2638       42.10745 
  415000      100      14.242924      42.217977 
  416000      100      14.219965      42.326913 
